Date,State,Confirmed,Recovered,Deaths,State_Code,Active,Week,Month,Year
2020-04-12,Andaman & Nicobar Island,11,0,0,35,11,WK 15-2020,Apr-2020,2020
2020-04-12,Andhra Pradesh,381,11,6,28,364,WK 15-2020,Apr-2020,2020
2020-04-12,Arunanchal Pradesh,1,0,0,12,1,WK 15-2020,Apr-2020,2020
2020-04-12,Assam,29,0,1,18,28,WK 15-2020,Apr-2020,2020
2020-04-12,Bihar,64,19,1,10,44,WK 15-2020,Apr-2020,2020
2020-04-12,Chandigarh,19,7,0,4,12,WK 15-2020,Apr-2020,2020
2020-04-12,Chhattisgarh,25,10,0,22,15,WK 15-2020,Apr-2020,2020
2020-04-12,Dadara & Nagar Havelli,0,0,0,26,0,WK 15-2020,Apr-2020,2020
2020-04-12,Daman & Diu,0,0,0,25,0,WK 15-2020,Apr-2020,2020
2020-04-12,NCT of Delhi,1069,25,19,7,1025,WK 15-2020,Apr-2020,2020
2020-04-12,Goa,7,5,0,30,2,WK 15-2020,Apr-2020,2020
2020-04-12,Gujarat,432,44,22,24,366,WK 15-2020,Apr-2020,2020
2020-04-12,Haryana,185,29,3,6,153,WK 15-2020,Apr-2020,2020
2020-04-12,Himachal Pradesh,32,6,1,2,25,WK 15-2020,Apr-2020,2020
2020-04-12,Jammu & Kashmir,224,6,4,1,214,WK 15-2020,Apr-2020,2020
2020-04-12,Jharkhand,17,0,1,20,16,WK 15-2020,Apr-2020,2020
2020-04-12,Karnataka,226,37,6,29,183,WK 15-2020,Apr-2020,2020
2020-04-12,Kerala,374,142,2,32,230,WK 15-2020,Apr-2020,2020
2020-04-12,Ladakh,15,10,0,37,5,WK 15-2020,Apr-2020,2020
2020-04-12,Lakshadweep,0,0,0,31,0,WK 15-2020,Apr-2020,2020
2020-04-12,Madhya Pradesh,564,0,36,23,528,WK 15-2020,Apr-2020,2020
2020-04-12,Maharashtra,1761,208,127,27,1426,WK 15-2020,Apr-2020,2020
2020-04-12,Manipur,2,1,0,14,1,WK 15-2020,Apr-2020,2020
2020-04-12,Meghalaya,0,0,0,17,0,WK 15-2020,Apr-2020,2020
2020-04-12,Mizoram,1,0,0,15,1,WK 15-2020,Apr-2020,2020
2020-04-12,Nagaland,0,0,0,13,0,WK 15-2020,Apr-2020,2020
2020-04-12,Odisha,54,12,1,21,41,WK 15-2020,Apr-2020,2020
2020-04-12,Puducherry,7,1,0,34,6,WK 15-2020,Apr-2020,2020
2020-04-12,Punjab,151,5,11,3,135,WK 15-2020,Apr-2020,2020
2020-04-12,Rajasthan,700,21,3,8,676,WK 15-2020,Apr-2020,2020
