Date,State,18+ Dose 1,18+ Dose 2,18+ Total Doses,15-18 Dose 1,15-18 Dose 2,15-18 Total Doses,12-14 Dose 1,12-14 Dose 2,12-14 Total Doses,18-59 Booster Dose,60+ Booster Dose,Booster Total Doses,Total Doses,Week,Month,Year
2021-02-25,Andaman & Nicobar Island,5644,2118,7762,0,0,0,0,0,0,0,0,0,7762,WK 08-2021,Feb-2021,2021
2021-02-25,Andhra Pradesh,472460,120443,592903,0,0,0,0,0,0,0,0,0,592903,WK 08-2021,Feb-2021,2021
2021-02-25,Arunanchal Pradesh,22433,5497,27930,0,0,0,0,0,0,0,0,0,27930,WK 08-2021,Feb-2021,2021
2021-02-25,Assam,179625,15795,195420,0,0,0,0,0,0,0,0,0,195420,WK 08-2021,Feb-2021,2021
2021-02-25,Bihar,540315,60480,600795,0,0,0,0,0,0,0,0,0,600795,WK 08-2021,Feb-2021,2021
2021-02-25,Chandigarh,17256,1306,18562,0,0,0,0,0,0,0,0,0,18562,WK 08-2021,Feb-2021,2021
2021-02-25,Chhattisgarh,366493,39390,405883,0,0,0,0,0,0,0,0,0,405883,WK 08-2021,Feb-2021,2021
2021-02-25,Dadara & Nagar Havelli,5047,266,5313,0,0,0,0,0,0,0,0,0,5313,WK 08-2021,Feb-2021,2021
2021-02-25,Daman & Diu,1858,254,2112,0,0,0,0,0,0,0,0,0,2112,WK 08-2021,Feb-2021,2021
2021-02-25,NCT of Delhi,348669,29025,377694,0,0,0,0,0,0,0,0,0,377694,WK 08-2021,Feb-2021,2021
2021-02-25,Goa,16741,1559,18300,0,0,0,0,0,0,0,0,0,18300,WK 08-2021,Feb-2021,2021
2021-02-25,Gujarat,830565,80118,910683,0,0,0,0,0,0,0,0,0,910683,WK 08-2021,Feb-2021,2021
2021-02-25,Haryana,216422,55075,271497,0,0,0,0,0,0,0,0,0,271497,WK 08-2021,Feb-2021,2021
2021-02-25,Himachal Pradesh,98881,12818,111699,0,0,0,0,0,0,0,0,0,111699,WK 08-2021,Feb-2021,2021
2021-02-25,Jammu & Kashmir,217910,10285,228195,0,0,0,0,0,0,0,0,0,228195,WK 08-2021,Feb-2021,2021
2021-02-25,Jharkhand,272164,17708,289872,0,0,0,0,0,0,0,0,0,289872,WK 08-2021,Feb-2021,2021
2021-02-25,Karnataka,586545,179124,765669,0,0,0,0,0,0,0,0,0,765669,WK 08-2021,Feb-2021,2021
2021-02-25,Kerala,422669,70600,493269,0,0,0,0,0,0,0,0,0,493269,WK 08-2021,Feb-2021,2021
2021-02-25,Ladakh,8199,748,8947,0,0,0,0,0,0,0,0,0,8947,WK 08-2021,Feb-2021,2021
2021-02-25,Lakshadweep,2344,639,2983,0,0,0,0,0,0,0,0,0,2983,WK 08-2021,Feb-2021,2021
2021-02-25,Madhya Pradesh,646766,77584,724350,0,0,0,0,0,0,0,0,0,724350,WK 08-2021,Feb-2021,2021
2021-02-25,Maharashtra,981359,105752,1087111,0,0,0,0,0,0,0,0,0,1087111,WK 08-2021,Feb-2021,2021
2021-02-25,Manipur,46042,2190,48232,0,0,0,0,0,0,0,0,0,48232,WK 08-2021,Feb-2021,2021
2021-02-25,Meghalaya,28248,1200,29448,0,0,0,0,0,0,0,0,0,29448,WK 08-2021,Feb-2021,2021
2021-02-25,Mizoram,19643,4031,23674,0,0,0,0,0,0,0,0,0,23674,WK 08-2021,Feb-2021,2021
2021-02-25,Nagaland,27195,5141,32336,0,0,0,0,0,0,0,0,0,32336,WK 08-2021,Feb-2021,2021
2021-02-25,Odisha,450361,134587,584948,0,0,0,0,0,0,0,0,0,584948,WK 08-2021,Feb-2021,2021
2021-02-25,Puducherry,9436,1023,10459,0,0,0,0,0,0,0,0,0,10459,WK 08-2021,Feb-2021,2021
2021-02-25,Punjab,139305,27388,166693,0,0,0,0,0,0,0,0,0,166693,WK 08-2021,Feb-2021,2021
2021-02-25,Rajasthan,783652,147570,931222,0,0,0,0,0,0,0,0,0,931222,WK 08-2021,Feb-2021,2021
2021-02-25,Sikkim,15875,1056,16931,0,0,0,0,0,0,0,0,0,16931,WK 08-2021,Feb-2021,2021
2021-02-25,Tamil Nadu,368678,46149,414827,0,0,0,0,0,0,0,0,0,414827,WK 08-2021,Feb-2021,2021
2021-02-25,Telangana,283387,106583,389970,0,0,0,0,0,0,0,0,0,389970,WK 08-2021,Feb-2021,2021
2021-02-25,Tripura,86336,16416,102752,0,0,0,0,0,0,0,0,0,102752,WK 08-2021,Feb-2021,2021
2021-02-25,Uttar Pradesh,1140754,86021,1226775,0,0,0,0,0,0,0,0,0,1226775,WK 08-2021,Feb-2021,2021
2021-02-25,Uttarakhand,139169,11833,151002,0,0,0,0,0,0,0,0,0,151002,WK 08-2021,Feb-2021,2021
2021-02-25,West Bengal,787013,99478,886491,0,0,0,0,0,0,0,0,0,886491,WK 08-2021,Feb-2021,2021
2021-02-26,Andaman & Nicobar Island,6034,2385,8419,0,0,0,0,0,0,0,0,0,8419,WK 08-2021,Feb-2021,2021
2021-02-26,Andhra Pradesh,503858,130591,634449,0,0,0,0,0,0,0,0,0,634449,WK 08-2021,Feb-2021,2021
2021-02-26,Arunanchal Pradesh,24193,6331,30524,0,0,0,0,0,0,0,0,0,30524,WK 08-2021,Feb-2021,2021
2021-02-26,Assam,189569,21468,211037,0,0,0,0,0,0,0,0,0,211037,WK 08-2021,Feb-2021,2021
2021-02-26,Bihar,548175,76211,624386,0,0,0,0,0,0,0,0,0,624386,WK 08-2021,Feb-2021,2021
2021-02-26,Chandigarh,18894,1568,20462,0,0,0,0,0,0,0,0,0,20462,WK 08-2021,Feb-2021,2021
2021-02-26,Chhattisgarh,373644,48347,421991,0,0,0,0,0,0,0,0,0,421991,WK 08-2021,Feb-2021,2021
2021-02-26,Dadara & Nagar Havelli,5252,337,5589,0,0,0,0,0,0,0,0,0,5589,WK 08-2021,Feb-2021,2021
